english,spanish,english_length,spanish_length
can i eat my lunch here ?,¿ puedo comer mi almuerzo aquí ?,7,7
are you doing anything special ?,¿ estás haciendo algo en especial ?,6,7
won t you speak to tom about it ?,¿ no hablará con tom al respecto ?,9,8
tom was afraid to ask for help .,tomás tenía miedo de pedir ayuda .,8,7
"i go for a walk every day , except when it rains .","paseo todos los días , excepto cuando llueve .",13,9
i have to know what s at stake .,tengo que saber lo que está en riesgo .,9,9
i m glad to see i was wrong .,me alegra ver que estaba equivocado .,9,7
don t get left behind .,no te quedes atrás .,6,5
catch him .,captúralo .,3,2
where s the lid for this pan ?,¿ dónde está la tapa de esta sartén ?,8,9
tom translated the contract into french .,tomás tradujo el contrato al francés .,7,7
let s ask them .,preguntémosles .,5,2
i don t have a younger sister .,yo no tengo hermana menor .,8,6
can you take me with you ?,¿ me puede llevar con usted ?,7,7
i didn t give anything to tom .,yo no le di nada a tom .,8,8
i stayed home because it was raining .,me quedé en casa porque estaba lloviendo .,8,8
do you have money ?,¿ tienes dinero ?,5,4
this is something new .,esto es algo nuevo .,5,5
why are you so clumsy ?,¿ por qué eres tan torpe ?,6,7
what s in this box ?,¿ qué hay en esta caja ?,6,7
"are they coming , too ?",¿ ellos también vienen ?,6,5
is he coming home at six o clock ?,¿ él va a venir a casa a las seis ?,9,11
can i have it back now ?,¿ pueden pasármelo de vuelta ahora ?,7,7
your new dress really looks good on you .,tu nuevo vestido realmente se te ve bien .,9,9
they carried him to a nearby house .,ellos lo llevaron a una casa cercana .,8,8
what have i ever done to you ?,¿ qué te he hecho ?,8,6
i just want you to make a good first impression .,solo quiero que causes una buena primera impresión .,11,9
tom drank coffee while mary smoked a cigarette .,tom se bebió un café mientras mary se fumaba un cigarro .,9,12
a unicycle has only one wheel .,un uniciclo tiene una sola rueda .,7,7
"i ve heard of him , but i don t know him personally .","he oído hablar de él , pero no le conozco personalmente .",14,12
mary is charming .,mary es encantadora .,4,4
i m not a member .,no soy socio .,6,4
i just have one other thing to do .,sólo tengo otra cosa más que hacer .,9,8
"have you eaten ? yes , i have .",¿ has comido ? sí .,9,6
only god knows .,sólo dios lo sabe .,4,5
you don t have to help me .,no tienes que ayudarme .,8,5
watch closely .,vigila atentamente .,3,3
tom is a good person .,tom es una buena persona .,6,6
what did you want us to do with all your stuff ?,¿ qué querías que hiciéramos con todas tus cosas ?,12,10
tom can barely speak french .,tom apenas puede hablar francés .,6,6
i really do have to go .,la verdad es que sí tengo que irme .,7,9
i saw a light far away .,vi una luz lejana .,7,5
"due to bad weather , the plane was late .",el avión se retrasó a causa del mal clima .,10,10
we need some money .,necesitamos algo de dinero .,5,5
i will answer within three days .,contestaré dentro de tres días .,7,6
he wants something cold to drink .,él quiere beber algo frío .,7,6
tom continued speaking .,tom siguió hablando .,4,4
the buildings were damaged by the storm last night .,los edificios fueron afectados por la tormenta anoche .,10,9
snakes are reptiles .,las víboras son reptiles .,4,5
how will you get to school tomorrow ?,¿ cómo irás a la escuela mañana ?,8,8
would you mind telling me what this is about ?,¿ te molestaría decirme de qué se trata esto ?,10,10
head south .,ve al sur .,3,4
i understand it .,lo comprendo .,4,3
tom has no idea why mary did that .,tom no tiene idea de por qué mary hizo eso .,9,11
she never wears green .,ella nunca se viste de verde .,5,7
"she has gone , but i still love her .","ella se fue , pero yo todavía la amo .",10,10
we have a lot of snow at this time of the year .,tenemos mucha nieve en esta época del año .,13,9
what s your favorite beatles song ?,¿ cuál es tu canción preferida de los beatles ?,7,10
you didn t have to do that .,no tenías que hacer eso .,8,6
are you a senior high school student ?,¿ eres estudiante de secundaria ?,8,6
what did tom bring ?,¿ qué trajo tom ?,5,5
i wonder where tom came from .,me pregunto de dónde vino tom .,7,7
did it rain all night ?,¿ llovió toda la noche ?,6,6
now and then she plays tennis .,de vez en cuando ella juega tenis .,7,8
i wonder whether or not tom is mad .,me pregunto si tom está enojado o no .,9,9
he was wounded in the shoulder .,le hirieron en el hombro .,7,6
tom wants to kill me .,tom quiere matarme .,6,4
throw the dice .,tira el dado .,4,4
i won t laugh .,no me voy a reír .,5,6
it doesn t look too complicated .,no se ve tan complicado .,7,6
tom usually calls me every monday evening .,tom suele llamarme todos los lunes por la noche .,8,10
some people still believe that the world is flat .,algunas personas todavía piensan que la tierra es plana .,10,10
i like doing it .,me agrada hacerlo .,5,4
i have no home to live in .,no tengo un hogar en donde vivir .,8,8
i don t want to spend more than 10 .,no quiero gastarme más de diez dólares .,10,8
do it .,hacedlo .,3,2
turn right there .,gira a la derecha allí .,4,6
it s easy to understand why .,es fácil comprender el porqué .,7,6
will i still be able to do it ?,¿ seguiré siendo capaz de hacerlo ?,9,7
"when he comes , i ll pay the money that i promised .",en cuanto venga pagaré el dinero que he prometido .,13,10
this is absolutely wonderful .,esto es completamente maravilloso .,5,5
everyone except tom was wearing a tie .,"todos llevaban corbata , menos tom .",8,7
i like folk songs .,me gustan los cantos populares .,5,6
i think you ll find it very interesting .,creo que te parecerá muy interesante .,9,7
tom graduated .,tom se graduó .,3,4
did you find your keys ?,¿ encontraste tus llaves ?,6,5
tom needs a change .,tom necesita un cambio .,5,5
i m pretty tipsy right now .,ahora mismo estoy bastante achispado .,7,6
i admit my mistake .,admito mi error .,5,4
i believed you .,te creí .,4,3
"she can speak english , of course .","ella sabe inglés , por supuesto .",8,7
"every time i see you , i think of your mother .","siempre que te veo , pienso en tu madre .",12,10
i was right .,yo tenía razón .,4,4
tom doesn t have many friends in boston .,tom no tiene muchos amigos en boston .,9,8
her name was spelled wrong .,deletrearon mal su nombre .,6,5
i hate cats .,odio los gatos .,4,4
i just want to know why you didn t come over to help yesterday .,solo quiero saber por qué no viniste acá a ayudar ayer .,15,12
do we have enough silverware for thirty people ?,¿ tenemos suficientes cubiertos para treinta personas ?,9,8
are you already thinking of leaving ?,¿ ya piensa irse ?,7,5
could you elaborate ?,¿ podría dar más detalles ?,4,6
could you take a picture of me ?,¿ me puede sacar una foto ?,8,7
you re the last hope for humanity .,eres la última esperanza para la humanidad .,8,8
i obeyed the rules .,obedecí las normas .,5,4
tom wasn t even scared .,tom ni siquiera estaba asustado .,6,6
focus on one thing and do it well .,enfócate en una cosa y hazla bien .,9,8
what does your family do on christmas day ?,¿ qué hace tu familia el día de navidad ?,9,10
that was interesting .,estuvo interesante .,4,3
she bears an uncanny resemblance to marilyn monroe .,ella tiene un misterioso parecido con marilyn monroe .,9,9
most people think i m crazy .,mucha gente piensa que estoy loco .,7,7
tom doesn t know much about art .,tom no sabe mucho sobre arte .,8,7
she s in a bad mood .,ella está de mal humor .,7,6
the armed forces occupied the entire territory .,las fuerzas armadas ocuparon todo el territorio .,8,8
i m not your father .,no soy tu padre .,6,5
he can run faster than me .,él puede correr más rápido que yo .,7,8
i will be in london by this time tomorrow .,mañana a esta hora estaré en londres .,10,8
would you please stand up ?,¿ te levantarías por favor ?,6,6
my father likes tennis .,a mi padre le gusta el tenis .,5,8
the moon isn t a star .,la luna no es una estrella .,7,7
ranching is common in the western half of south dakota .,la ranchería es común en la mitad occidental de dakota del sur .,11,13
what is your favorite time of year ?,¿ cuál es tu época del año preferida ?,8,9
it s a shame that the singer died so young .,es una pena que la cantante muriera tan joven .,11,10
i assumed it was free .,asumí que era gratis .,6,5
tom and mary are fighting . please do something .,tom y mary se están peleando . por favor haz algo .,10,12
turn up the radio a little bit .,sube un poco el volumen de la radio .,8,9
both of those students didn t pass the test .,esos dos estudiantes no pasaron la prueba .,10,8
i see a crown .,estoy viendo una corona .,5,5
what was that ?,¿ qué ha sido eso ?,4,6
what can i do with the leftover vegetables ?,¿ qué puedo hacer con las verduras sobrantes ?,9,9
i ll be free .,voy a estar libre .,5,5
why don t you call tom up ?,¿ por qué no llamas a tom ?,8,8
anybody hurt ?,¿ alguien está herido ?,3,5
i felt pity for the boy .,tuve compasión del joven .,7,5
tom made mary change her plans .,tom hizo que mary cambiara sus planes .,7,8
i never win .,yo nunca gano .,4,4
tom needs to renew his passport before the fifteenth of next month .,tom necesita renovar su pasaporte antes del quince del próximo mes .,13,12
what does it really mean to be strong ?,¿ qué significa realmente ser fuerte ?,9,7
i can be very persuasive .,puedo ser muy persuasivo .,6,5
almost no one believes her .,casi nadie la cree .,6,5
i want to live at home with my family .,quiero vivir en casa con mi familia .,10,8
i didn t ask you to come here .,no te pedí que vinieras aquí .,9,7
tom has lots of furniture .,tom tiene montones de muebles .,6,6
are you happy here ?,¿ eres feliz aquí ?,5,5
how much is that cheese ?,¿ cuánto cuesta ese queso ?,6,6
tom didn t love mary as much as she loved him .,tom no amaba a mary tanto como ella lo amaba a él .,12,13
forget tom .,olvídate de tomás .,3,4
may i speak to you in private ?,¿ puedo hablar contigo a solas ?,8,7
tom pulled mary out of the burning car .,tom sacó a mary fuera del auto en llamas .,9,10
you will always be welcome .,siempre seréis bienvenidas .,6,4
this is where we live .,aquí es donde vivimos .,6,5
how do you like it ?,¿ cómo te gusta ?,6,5
don t call me up after ten o clock .,no me llames después de las diez .,10,8
the scenery was beautiful beyond description .,el paisaje era bello más allá de toda descripción .,7,10
i don t want to ever see you again .,no quiero volver a verte nunca .,10,7
it snowed .,nevó .,3,2
tom paid the bill .,tom pagó la cuenta .,5,5
i m double parked . could you hurry it up ?,"he aparcado en doble fila , ¿ puedes darte prisa ?",11,11
tom cut his finger on a piece of glass .,tom se cortó el dedo con un pedazo de vidrio .,10,11
do you know how to drive a car ?,¿ sabes conducir ?,9,4
it s my turn .,me toca .,5,3
is there something you need ?,¿ hay algo que necesites ?,6,6
we re engaged in a difficult task .,estamos involucrados en una difícil tarea .,8,7
many peasants died during the drought .,muchos campesinos murieron durante la sequía .,7,7
tom was eating his dessert when the phone rang .,tom estaba comiendo el postre cuando sonó el teléfono .,10,10
it s a complex issue .,es un asunto complicado .,6,5
where s your weapon ?,¿ dónde está tu arma ?,5,6
this is so hilarious .,esto es tan chistoso .,5,5
it would ve been better if we hadn t done that .,hubiera sido mejor si no hubiéramos hecho eso .,12,9
you re first .,tú vas el primero .,4,5
tom is still just as friendly as he used to be .,tom sigue siendo tan amistoso como antes .,12,8
i m unnecessary here .,estoy de más .,5,4
tom took off his coat and hung it over a chair .,tom se quitó el abrigo y lo colgó sobre una silla .,12,12
don t you realize what you ve done ?,¿ no te das cuenta de lo que has hecho ?,9,11
it has been raining since last monday .,lleva lloviendo desde el lunes pasado .,8,7
i am going to leave my present job .,voy a abandonar mi empleo actual .,9,7
i could see that .,podría ver eso .,5,4
the teams are coming onto the field .,los equipos salen al campo .,8,6
he didn t answer my question .,no respondió a mi pregunta .,7,6
who stopped ?,¿ quién se detuvo ?,3,5
tom found mary .,tom encontró a mary .,4,5
you are beautiful .,eres guapa .,4,3
"tom is outside , pulling weeds .",tom está fuera arrancando hierbajos .,7,6
give me back my bag .,devuélveme mi bolso .,6,4
is it a boy or a girl ?,¿ es acaso un chico o una chica ?,8,9
you re smart .,sos inteligente .,4,3
they may go .,quizá vayan .,4,3
he was leaning against the wall .,él estaba apoyado contra la pared .,7,7
does she play the piano ?,¿ ella toca el piano ?,6,6
where s tom s computer ?,¿ dónde está el ordenador de tom ?,6,8
doesn t it taste good ?,¿ no sabe bien ?,6,5
the die has been cast .,el cubo es lanzado .,6,5
they must be happy .,ellas deben ser felices .,5,5
please speak slowly .,"por favor , habla despacio .",4,6
let s put an end to this discussion .,acabemos esta discusión .,9,4
my uncle lives near the school .,mi tío vive cerca de la escuela .,7,8
i think you know why i m calling you .,creo que sabes por qué te estoy llamando .,10,9
when did you meet him ?,¿ cuándo lo viste a él ?,6,7
it s the thought that counts .,lo que importa es la intención .,7,7
everyone knows that it wasn t your fault .,todo el mundo sabe que no fue tu culpa .,9,10
write your name at the bottom of the paper .,escriba su nombre al final de la hoja .,10,9
tom never trusted mary .,tom nunca confió en mary .,5,6
an elderly person was resting under a tree .,un anciano reposaba bajo un árbol .,9,7
i see your house .,yo veo tu casa .,5,5
tom was dressed in black .,tomás estaba vestido de negro .,6,6
i didn t tell you everything .,no se lo conté todo .,7,6
this bicycle belongs to my brother .,esta bicicleta le pertenece a mi hermano .,7,8
i was taught something different .,me enseñaron algo diferente .,6,5
she thought that i was a doctor .,ella pensaba que yo era médica .,8,7
he made up his mind to be a fireman .,él decidió ser un bombero .,10,6
when will his new novel come out ?,¿ cuándo se publica su nueva novela ?,8,8
tom has always been quiet .,tom siempre ha sido callado .,6,6
i am old .,estoy viejo .,4,3
maybe it ll snow .,quizá nieve .,5,3
"so you give up , right ?","¿ entonces abandonas , no ?",7,6
we d like to cancel our reservation .,queremos cancelar nuestra reserva .,8,5
she loves cats .,a ella le gustan los gatos .,4,7
tom died in his seventies .,tom murió en sus setentas .,6,6
i want to earn more money .,quiero ganar más dinero .,7,5
tom doesn t know what he s doing .,tom no sabe lo que está haciendo .,9,8
i had trouble pronouncing his name .,tuve problemas para pronunciar su nombre .,7,7
tom couldn t believe what mary said .,tom no podía creer lo que decía mary .,8,9
tom hasn t fried the fish yet .,tom no ha freído el pescado aún .,8,8
i have no money .,no tengo un mango .,5,5
she tried in vain to please him .,ella trató en vano de complacerlo .,8,7
you mustn t tell tom anything .,no debéis decirle nada a tom .,7,7
tom said he never wanted to get married .,tom dijo que no quería casarse jamás .,9,8
tom couldn t afford to buy the bicycle he wanted .,tom no pudo permitirse comprar la bicicleta que quería .,11,10
tom can see ghosts .,tom puede ver fantasmas .,5,5
"ok , listen up .","bueno , atended .",5,4
"i waited for hours , but she didn t show up .","esperé por horas , pero ella no apareció .",12,9
the village needs your help .,el pueblo necesita tu ayuda .,6,6
i played the flute when i was in high school .,yo tocaba la flauta cuando estaba en el instituto .,11,10
"that skirt s too short , isn t it ?","esa falda es demasiado corta , ¿ no ?",10,9
his hopes faded .,sus esperanzas se esfumaron .,4,5
is there life on other planets ?,¿ es que existe vida en otros planetas ?,7,9
"when i got home , i had a nice , ice cold shower .",cuando llegué a casa me di una agradable ducha fría como hielo .,14,13
three halves is six quarters .,tres medios son seis cuartos .,6,6
give me three months .,dadme tres meses .,5,4
it was such an interesting book that i read it in a day .,era un libro tan interesante que me lo leí en un día .,14,13
do you have a problem ?,¿ tienes un problema ?,6,5
he bought a lot of flour and oil .,él compró un montón de harina y de aceite .,9,10
all the students clapped their hands .,todos los estudiantes aplaudieron .,7,5
i want to know where they hid the money .,quiero saber dónde escondieron el dinero .,10,7
they told me to stay in the car .,me dijeron que me quedara en el coche .,9,9
tom has to eat his lunch in fifteen minutes .,tom tiene quince minutos para almorzar .,10,7
don t be a jerk .,no seas idiota .,6,4
that s the way the cookie crumbles .,la vida es así .,8,5
i didn t have the courage to tell her the truth .,no tuve los arrestos para decirle la verdad .,12,9
tom worked on the job alone .,tom trabajaba solo .,7,4
that s not what i said .,eso no es lo que dije .,7,7
i m starting to like you .,estás empezando a gustarme .,7,5
is tom your nephew ?,¿ tom es tu sobrino ?,5,6
a terrible thing happened .,una terrible cosa pasó .,5,5
do you believe in love at first sight ?,¿ tú crees en el amor a primera vista ?,9,10
"we all believe in good , free education for our children .",todos nosotros creemos en una educación buena y gratis para nuestros niños .,12,13
bankers rule the world .,los banqueros controlan el mundo .,5,6
i m already what you call elderly .,ya soy lo que llamarías un viejo .,8,8
that s a brilliant idea .,es una buena idea .,6,5
how many soldiers did you see ?,¿ a cuántos soldados viste ?,7,6
"i m looking for a warm , woolen skirt .",busco una cálida falda de lana .,10,7
different people have different ideas .,personas diferentes tienen ideas diferentes .,6,6
tom doesn t have anything to eat .,tom no tiene nada para comer .,8,7
you will soon be convinced i am right .,pronto estarás convencido de que tengo razón .,9,8
he apologized to the teacher for coming to school late .,él le pidió disculpas al profesor por haber llegado tarde a la escuela .,11,14
who needs a drink ?,¿ quién necesita un trago ?,5,6
tom wondered how difficult it would be to find a job in boston .,tom se preguntaba qué tan difícil sería encontrar un trabajo en boston .,14,13
tom admitted what mary said was true .,tom admitió que lo que mary dijo era verdad .,8,10
call the fbi .,llama al fbi .,4,4
i ve been there twice .,he estado allá dos veces .,6,6
do you like to play golf ?,¿ te gusta jugar al golf ?,7,7
they re insane .,están molidos de la cabeza .,4,6
turn off the gas .,corta el gas .,5,4
who wants some ice cream ?,¿ quién quiere helado ?,6,5
"when it was stretched , the material tore .",al estirar la tela se rompió .,9,7
tom was old and frail .,tom estaba viejo y débil .,6,6
i went to school with your dad .,fui a la escuela con tu padre .,8,8
what can i do ?,¿ qué puedo hacer al respecto ?,5,7
she acted in the play .,ella actuó en la obra .,6,6
these are my cds .,estos son mis cd .,5,5
it s not something i m very good at .,no es algo para lo que sea muy bueno .,10,10
what kind of work do you like ?,¿ qué tipo de trabajo te gusta ?,8,8
you may give the book to whoever wants it .,puedes darle el libro a quien lo quiera .,10,9
it s an expression .,es una expresión .,5,4
i think tom was hiding something .,creo que tom estaba ocultando algo .,7,7
let s wait here till he comes back .,esperemos aquí hasta que vuelva .,9,6
that s really sad .,realmente es muy triste .,5,5
"tom should have invited mary , but he didn t .","tom debería haber invitado a mary , pero no lo hizo .",11,12
rain is forecast for this evening .,se pronostica lluvia para esta noche .,7,7
the match is over .,se terminó el partido .,5,5
you are very smart .,eres muy lista .,5,4
he s always saying bad things about his wife .,él siempre dice cosas malas de su esposa .,10,9
tom should be ok by monday .,tom debería estar bien para el lunes .,7,8
there s a cat on the chair .,hay un gato encima de la silla .,8,8
i thought tom had a place to live .,pensé que tom tenía un lugar donde vivir .,9,9
i could read between the lines .,yo podía leer entre líneas .,7,6
i ll call you as soon as i can .,te llamaré en cuanto pueda .,10,6
do you think that you could help me weed the garden this afternoon ?,¿ crees que me podrías ayudar esta tarde a podar el jardín ?,14,13
ask your dad to help you .,pídele ayuda a tu padre .,7,6
i wonder if i ll ever get married .,me pregunto si alguna vez contraeré matrimonio .,9,8
who s been talking to tom ?,¿ quién ha estado hablando con tom ?,7,8
my children won t listen to me .,mis niños no me quieren escuchar .,8,7
you re hiding something .,estás ocultando algo .,5,4
he s my brother .,él es mi hermano .,5,5
we enjoyed watching the game .,nos la pasamos bien viendo el partido .,6,8
tom goes there every day .,tom va allí todos los días .,6,7
many criminals in the united states are addicted to drugs .,muchos criminales en los estados unidos son adictos a las drogas .,11,12
i have asthma .,tengo asma .,4,3
tom lost his job .,tom perdió su trabajo .,5,5
it is uncertain whether he is coming or not .,no es seguro si vendrá o no .,10,8
i never did that before .,nunca hice eso antes .,6,5
why did you buy the flowers ?,¿ por qué compraste las flores ?,7,7
i don t think that you said anything wrong .,no creo que hayas dicho una cosa errónea .,10,9
they walked two abreast .,caminaban de dos en fondo .,5,6
he s an old timer .,es perro viejo .,6,4
i have math homework today .,hoy tengo deberes de matemáticas .,6,6
what a beautiful day !,¡ qué día tan hermoso !,5,6
i had just written the letter when he came back .,cuando volvió yo acababa de terminar de escribir la carta .,11,11
tom thinks he s invincible .,tom se cree invencible .,6,5
i m looking forward to your coming to japan .,espero con ganas a que vengas a japón .,10,9
i ve never heard english spoken so quickly .,yo nunca había escuchado inglés hablado tan velozmente .,9,9
tom slumped on the couch .,tom se cayó en el sofá .,6,7
can you play the ukulele ?,¿ sabes tocar el ukelele ?,6,6
let me show you something .,déjame mostrarte algo .,6,4
drop by my office this evening .,pasa a mi oficina esta noche .,7,7
we re losing a lot of time .,perdimos mucho tiempo .,8,4
be a man .,sé un hombre .,4,4
my promotion hangs on his decision .,mi ascenso depende de su decisión .,7,7
can you stay till 2 30 ?,¿ puedes quedarte hasta las dos y media ?,7,9
tom couldn t run very fast .,tom no podía correr muy rápido .,7,7
she is hard on him .,ella es dura con él .,6,6
she was already in love with him .,ella ya estaba enamorada de él .,8,7
lying is wrong .,no está bien mentir .,4,5
why do you not want to do that ?,¿ por qué no quieren hacerlo ?,9,7
winter has gone . spring has come .,el invierno se marcha y llega la primavera .,8,9
did i hear you correctly ? are you saying you disagree ?,¿ te oí correctamente ? ¿ estás diciendo que no estás de acuerdo ?,12,14
i finally won .,yo finalmente gané .,4,4
i think you re the only one who cares .,creo que usted es el único al que le importa .,10,11
you will soon get used to speaking in public .,pronto te acostumbrarás a hablar en público .,10,8
it s too early to tell yet .,todavía es demasiado temprano para decirlo .,8,7
it was a wild goose chase .,fue un objetivo inalcanzable .,7,5
tom won t help mary .,tom no ayudará a mary .,6,6
he was visibly nervous .,él estaba visiblemente nervioso .,5,5
she is aged seventeen .,ella tiene diecisiete años .,5,5
what were they drinking ?,¿ qué estaban bebiendo ellos ?,5,6
the secretary inserted the letter in the envelope .,la secretaria introdujo la carta en el sobre .,9,9
the streets were decorated with flags .,las calles estaban decoradas con banderas .,7,7
she insisted on going there .,ella insistió en ir allí .,6,6
i want to hear what tom has to say .,quiero escuchar lo que tom tiene para decir .,10,9
i heard tom snoring during the class .,he oído roncar a tom en clase .,8,8
i live by myself .,yo vivo solo .,5,4
the teacher handles his pupils well .,aquel profesor tiene habilidad para tratar a los alumnos .,7,10
who s with tom now ?,¿ quién está con tomás ahora ?,6,7
it looks like rain .,parece lluvia .,5,3
only girls shoes are sold here .,aquí solo se venden zapatos de mujer .,7,8
put the book where you found it .,poné el libro donde lo encontraste .,8,7
you re wasting your time .,estás perdiendo el tiempo .,6,5
monday is trash day .,el lunes se recoge la basura .,5,7
why do you let tom treat you that way ?,¿ por qué permites que tom te trate de esa manera ?,10,12
i expect to be back by 2 30 .,espero estar de vuelta para las dos y media .,9,10
the photograph brought back memories of my childhood .,esa fotografía revivió recuerdos de mi niñez .,9,8
i am working on my new book .,estoy trabajando en mi nuevo libro .,8,7
he ll be safe with me .,él estará a salvo conmigo .,7,6
they want to build a fence around their home .,ellos quieren construir una cerca alrededor de su casa .,10,10
i want to talk with my lawyer .,quiero hablar con mi abogado .,8,6
tom is a bit strange .,tom es un poco extraño .,6,6
she advised him against doing it .,ella le aconsejó que no lo hiciera .,7,8
"first of all , let me say how glad i am to be here .","primero que todo , permítanme decir lo feliz que estoy de estar aquí .",15,14
you re motivated .,estáis motivados .,4,3
his novels are too deep for me .,sus novelas son demasiado profundas para mí .,8,8
this hat isn t new .,este sombrero no es nuevo .,6,6
give me just one minute .,dame sólo un minuto .,6,5
i wonder how old tom s parents are .,me pregunto cuántos años tienen los padres de tom .,9,10
tom can t explain it .,tom no puede explicarlo .,6,5
we re almost broke .,nosotros estamos casi en banca rota .,5,7
we re expecting a good harvest this year .,este año esperamos una buena cosecha .,9,7
please don t die .,"por favor , no mueras .",5,6
i need a laptop .,necesito una laptop .,5,4
what i want is some peace and quiet .,lo que quiero es algo de paz y tranquilidad .,9,10
tom understands your position .,tom entiende tu postura .,5,5
i cannot walk any farther .,no puedo caminar más lejos .,6,6
the country is abundant in natural resources .,el país abunda en recursos naturales .,8,7
